Gene,Non-unique Gene name,Annotation,FF06741431_G.swidsinskii,FF06741441_G.leopoldii,FF06741443_G.vaginalis_A,FF06741449_G.leopoldii,FF06741453_G.vaginalis,FF06741457_G.vaginalis_A,FF06741457_G.vaginalis_E,FF06741459_G.vaginalis_A,FF06741461_G.vaginalis_A,FF06741463_G.piotii,FF06741464_G.swidsinskii,FF06741735_G.sp947289115,FF06741736_G.vaginalis_C,FF06741741_G.swidsinskii,FF06741742_G.swidsinskii,FF06741746_G.sp947289115,FF06741748_G.swidsinskii,FF06741748_G.vaginalis,FF06741749_G.leopoldii,FF06741751_G.swidsinskii,FF06742652_G.swidsinskii,FS42685545_G.vaginalis,FS42685549_G.piotii,FS42685557_G.vaginalis_A,FS42685567_G.vaginalis,FS42685569_G.piotii,FS42685570_G.piotii,FS42685571_G.swidsinskii,FS42685572_G.swidsinskii,FS42685572_G.vaginalis,FS42685575_G.swidsinskii,FS42685576_G.vaginalis_H,FS42685584_G.leopoldii,FS42685584_G.piotii,FS42686173_G.leopoldii,FS42686174_G.piotii,FS42686174_G.swidsinskii,FS42686177_G.swidsinskii,FS42686179_G.piotii,FS42686179_G.swidsinskii,FS42686180_G.vaginalis,FS42686185_G.piotii,FS42686188_G.vaginalis,FS42686194_G.vaginalis,FS42686197_G.leopoldii,FS42686197_G.vaginalis,FS42686200_G.vaginalis_H,FS42686202_G.vaginalis_C,FS42686203_G.swidsinskii,FS42686210_G.swidsinskii,FS42686210_G.vaginalis,FS42686216_G.vaginalis,FS42687147_G.vaginalis,FS42687148_G.leopoldii,FS42687152_G.vaginalis,FS42687153_G.vaginalis_H,FS42687157_G.vaginalis,FS42687160_G.vaginalis,FS42687164_G.leopoldii,FS42687167_G.piotii,FS42687180_G.swidsinskii
group_2059,,hypothetical protein,,,,,,,,,,,,GNEALLOE_00630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBECPNCO_01084,,,,,,,,,,CLLCJGKF_01227,,,,,,,
group_2057,,hypothetical protein,,,,,,AIKGDNKA_00310,,CEAADGFG_00473,,,,,,,,,,,,,,,,KDJKPMPD_00687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2037,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAAKBJBK_00596,,,,,,,,,,,,,DCIIGEBB_00948,,,,,,,,,,,,,,ANLJHCED_00718,,,,
group_2036,,hypothetical protein,,,,,,,,,,,,,,PONOIEHE_01231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGINDJMA_00904,,,,,AKIABIOK_00931,,,,,,,,,,,
group_2017,,hypothetical protein,,,,,,,MAIBJLIG_00571,,,,,,,,,,,NBBAMHOG_00926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLLCJGKF_01098,,,,,,,
group_2014,,hypothetical protein,,,,,,,6_refound_312,,,,,,JKACDCNN_00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00249,,,,,,,,,,,,,
group_2001,,hypothetical protein,,,,,,,MAIBJLIG_01256,,,,,,JKACDCNN_00904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00723,,,,,,,,,,,,,
group_1998,,hypothetical protein,,,BFKFBIFC_00322,,,AIKGDNKA_00645,,,,,,,,,,,,,,,,,,KDJKPMPD_00607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1987,,hypothetical protein,,,,,,,MAIBJLIG_01183,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_01081,,,,,,,,,,,,,,,,,,,HEOIIJDM_01131,,,,,,,,,,
group_1978,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00821,,,,MMPGJHDA_00293,,,,,,,,,,,,,,
yafQ_3,yafQ_3,mRNA interferase toxin YafQ,,,,,,,,,,,,,,,,,,,,,,,OLMEONEL_01162,,,,,,,,,,,NKJPJJEP_00147,,,,,,,,CFGPDMND_00760,,,,,,,,,,,,,,,,,,,
group_1969,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00592,,,,,,,,,,,,,,,MMPGJHDA_00223,,,,,,,,,NPJENFAK_00734,,,,,
group_1967,,hypothetical protein,,,,,,,,,,,,,,PONOIEHE_01230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGINDJMA_00905,,,,,AKIABIOK_00930,,,,,,,,,,,
group_1965,,hypothetical protein,,,,,,,MAIBJLIG_00947,,,,,,JKACDCNN_00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00555,,,,,,,,,,,,,
group_1952,truB,tRNA pseudouridine synthase B,,,,,,,MAIBJLIG_00693,,,,,,JKACDCNN_01120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00516,,,,,,,,,,,,,
group_1950,dnaJ2,Chaperone protein DnaJ 2,,,,,,AIKGDNKA_00696,,CEAADGFG_00496,,,,,,,,,,,,,,,,KDJKPMPD_00664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1941,galK,Galactokinase,,,,,,,MAIBJLIG_01082,,,,,,JKACDCNN_01209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00807,,,,,,,,,,,,,
sdsA,sdsA,All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific),,,,,,AIKGDNKA_00222,,CEAADGFG_00858,,,,,,,,,,,,,,,,KDJKPMPD_00094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1939,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,DLEBNMND_00004,,,,,,,,NKJPJJEP_00189,,NLALJHLH_01098,,,,,,,,,,,,,,,,,,,,,,,,,
group_1928,thrB_2,Homoserine kinase,,,,,,,MAIBJLIG_01081,,,,,,JKACDCNN_01208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00806,,,,,,,,,,,,,
group_1921,,hypothetical protein,,,,,,,,,,,,,,PONOIEHE_00648,,APCAEHFD_00343,,,,,,,,,,,,,BEKPBNEK_01144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1911,,hypothetical protein,,,,,,,MAIBJLIG_01228,,,,,,JKACDCNN_00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00215,,,,,,,,,,,,,
group_1907,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDKPEHFM_00734,,,IDKOCMBL_01066,,,,HGINDJMA_00709,,,,,,,,,,,,,,,,
group_1894,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00809,,,,MMPGJHDA_00281,,,,,,,,,,,,,,
group_1893,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00810,,,,MMPGJHDA_00282,,,,,,,,,,,,,,
group_1890,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00811,,,,MMPGJHDA_00283,,,,,,,,,,,,,,
group_1886,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00812,,,,MMPGJHDA_00284,,,,,,,,,,,,,,
group_1877,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00813,,,,MMPGJHDA_00285,,,,,,,,,,,,,,
group_1862,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00814,,,,MMPGJHDA_00286,,,,,,,,,,,,,,
btuD_4,btuD_4,Vitamin B12 import ATP-binding protein BtuD,,,,,,,,,,,,GNEALLOE_00623,,,,APCAEHFD_00396,,,,,,,,,,,,,,EAAKBJBK_00371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1851,,hypothetical protein,,,,,,,,,,,,GNEALLOE_00957,,,,,,,,OMIKPLOJ_01167,,,,KDJKPMPD_01106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1845,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00918,,,DBLHLLOB_00760,,,,,,,,,,,ANLJHCED_00354,,,,
group_1842,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_01257,,,,,,,,,,,,,,,MMPGJHDA_00639,,,,,,,,,NPJENFAK_00328,,,,,
group_1839,,hypothetical protein,,,,AFFLGDGC_00171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBLHLLOB_00792,,,,,HEOIIJDM_00376,,,,,,,,,,
group_1837,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00815,,,,MMPGJHDA_00287,,,,,,,,,,,,,,
group_1829,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31_refound_1563_stop,,,,,,,,,,,,,,,46_refound_2103_stop,,,,,,,,,NPJENFAK_00181,,,,,
thrB_2,thrB_2,Homoserine kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00965,,,,,,,,,,,,,,,MMPGJHDA_00862,,,,,,,,,NPJENFAK_01086,,,,,
group_1824,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31_refound_1559,,,,,,,,,,,,,,,MMPGJHDA_00359,,,,,,,,,55_refound_2755,,,,,
group_1816,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFOKPGIE_00832,,,,,,,,,,,,,,,,,,DBLHLLOB_00884,,,,,,,,,,,,,,ODKBPENJ_00479,
group_1814,,hypothetical protein,,,,,,,,,,,,GNEALLOE_00693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGINDJMA_00380,,,,,,,,,CLLCJGKF_00836,,,,,,,
group_1801,,hypothetical protein,,,,,,,,,,,,,,,,,FLPEIIEP_00433;FLPEIIEP_00432,,,,OPLHJKPH_00416,,,,,,,,,,,,,,,,MJDADDMM_01033,,,,,,,,,,,,,,,,,,,,,,,,
group_1791,,hypothetical protein,,,,AFFLGDGC_00172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBLHLLOB_00791,,,,,HEOIIJDM_00375,,,,,,,,,,
group_1789,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00816,,,,MMPGJHDA_00288,,,,,,,,,,,,,,
group_1734,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00912,,,DBLHLLOB_00754,,,,,,,,,,,,JMCHCOOD_00143,,,
group_1722,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,OPLHJKPH_01041,,,,,,,DFOKPGIE_00998,,,,,,,,,,,,,,,,,,,,,48_refound_2335,,,,,,,,,,,,
group_1718,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDKPEHFM_00829,,,,,,,,,,,,AKIABIOK_00821,,,,,CHHPHLEM_01243,,,,,,
group_1704,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00234,,,,,,,,,,,,,,,,,DFOKPGIE_00003,,,,,,,,,,,,,,,,,,,MMPGJHDA_00278,,,,,,,,,,,,,,
group_1689,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00261,,,,,,,,,,,,,,,MMPGJHDA_00073,,,,,,,,,NPJENFAK_00586,,,,,
group_1676,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00817,,,,MMPGJHDA_00289,,,,,,,,,,,,,,
group_1669,,hypothetical protein,,,,,,AIKGDNKA_00806,,CEAADGFG_00524,,,,,,,,,,,,,,,,KDJKPMPD_00131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1661,,hypothetical protein,,,,,,,,,,MHMPKAEF_00728,,,,,,,,NBBAMHOG_01069,,,,,,,,,,,,,,,,,,,,,,LGNAKCJL_00958,,,,,,,,,,,,,,,,,,,,,
group_1659,recF,DNA replication and repair protein RecF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00529,,,,,,,,,,,,,,,MMPGJHDA_00381,,,,,,,,,NPJENFAK_00179,,,,,
group_1657,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00798,,,,,,,,,,,,,,,MMPGJHDA_00203,,,,,,,,,NPJENFAK_00901,,,,,
group_1627,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00442,,,,,,,,,,,,,,,MMPGJHDA_00726,,,,,,,,,NPJENFAK_00805,,,,,
group_1618,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,OPLHJKPH_00039,,,,,,,,,,,,,,,,MJDADDMM_00487,EDKPEHFM_00547,,,,,,,,,,,,,,,,,,,,,,,
group_1605,galK,Galactokinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00966,,,,,,,,,,,,,,,MMPGJHDA_00863,,,,,,,,,NPJENFAK_01287,,,,,
group_1583,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_01119,,,,,,,,,,,,,,,MMPGJHDA_00236,,,,,,,,,NPJENFAK_00653,,,,,
group_1576,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_01060,,,,,,,,,,,,,,,MMPGJHDA_00819,,,,,,,,,NPJENFAK_00945,,,,,
group_1574,,hypothetical protein,,,,,,,MAIBJLIG_00056,,,,,,JKACDCNN_00117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00128,,,,,,,,,,,,,
group_1572,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBECPNCO_00586,,,,,,,HEOIIJDM_00173,,,,,,,,,ODKBPENJ_00127,
group_1571,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,KDJKPMPD_00325,,DLEBNMND_00249,,,,,,,,,,,,,,,,,,,,,,,MGJCNIPK_00335,,,,,,,,,,,,
group_1563,,hypothetical protein,,,,,,,,,,,,,,,,,FLPEIIEP_00434,,,,OPLHJKPH_00415,,,,,,,,,,,,,,,,MJDADDMM_01034,,,,,,,,,,,,,,,,,,,,,,,,
group_1560,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDKPEHFM_00692,,,IDKOCMBL_00449,,,,,,,,48_refound_2385_stop,,,,,,,,,,,,
group_1545,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00813,,,,,,,,,,,,,,,MMPGJHDA_00754,,,,,,,,,NPJENFAK_01004,,,,,
group_1544,,hypothetical protein,,,,,,,MAIBJLIG_00685,,,,,,JKACDCNN_01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00359,,,,,,,,,,,,,
group_1541,,hypothetical protein,,,,,,,,,,,,,JKACDCNN_00698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEOIIJDM_00381,,,,,,,JMCHCOOD_00098,,,
group_1532,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00233,,,,,,,,,,,,,,,,,DFOKPGIE_00002,,,,,,,,,,,,,,,,,,,MMPGJHDA_00279,,,,,,,,,,,,,,
dinG,dinG;,3'-5' exonuclease DinG;hypothetical protein,,GIPBMKFD_00902,,AFFLGDGC_00170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPJENFAK_00730,,,,,
group_1513,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,NDDDCALJ_00187,,,,BEKPBNEK_00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMOGCKBM_00010
group_1509,,hypothetical protein,,GIPBMKFD_00540,,,,,,,,,,,,,,,,,18_refound_709,,,,,,,,,,,,,,,,OBLOJFDA_00707,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1491,,Fimbrial subunit type 1,,,,,,,MAIBJLIG_01091,,,,,,JKACDCNN_01220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00493,,,,,,,,,,,,,
group_1486,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,,,,,,,,,,,,,,,,,,,,,OLMEONEL_00691,,,,GEPBNDCO_00869,,,,,,,,,NLALJHLH_00645,,,,,,,,,,,,,,,,,,,,,,,,,
group_1478,,hypothetical protein,FKILNLMM_00146,,,,,,,,,,,,,PONOIEHE_01356,FIBOILMM_01012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1466,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00818,,,,MMPGJHDA_00290,,,,,,,,,,,,,,
group_1449,,hypothetical protein,,,,,,AIKGDNKA_00888,,CEAADGFG_00357,,,,,,,,,,,,,,,,KDJKPMPD_00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1434,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00448,,,,,,,,,,,,,,,MMPGJHDA_00732,,,,,,,,,NPJENFAK_00811,,,,,
group_1424,,hypothetical protein,,,,,,,MAIBJLIG_00965,,,,,,JKACDCNN_00282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00748,,,,,,,,,,,,,
group_1420,,hypothetical protein,,,,,,,MAIBJLIG_01126,,,,,,JKACDCNN_00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00247,,,,,,,,,,,,,
group_1416,,hypothetical protein,,,,,,,MAIBJLIG_00330,,,,,,JKACDCNN_00230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00277,,,,,,,,,,,,,
group_1407,,hypothetical protein,,,,,,,MAIBJLIG_00034,,,,,,JKACDCNN_00095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00151,,,,,,,,,,,,,
group_1380,,hypothetical protein,,,,,,,,,,MHMPKAEF_00877,,,,,,,,,,,,,OLMEONEL_00201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODKBPENJ_00907,
group_1362,trxC,Putative thioredoxin 2,,,,,,,MAIBJLIG_00288,,,,,,JKACDCNN_00187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00317,,,,,,,,,,,,,
group_1352,hrcA,Heat-inducible transcription repressor HrcA,,,,,,AIKGDNKA_00697,,CEAADGFG_00497,,,,,,,,,,,,,,,,KDJKPMPD_00663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1348,,hypothetical protein,,,,,,,MAIBJLIG_00639,,,,,,JKACDCNN_00326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00411,,,,,,,,,,,,,
group_1339,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00236,,,,,,,,,,,,,,,MMPGJHDA_00098,,,,,,,,,NPJENFAK_00241,,,,,
group_1333,,hypothetical protein,,,,,,,,,,MHMPKAEF_00521,,,,,,,,,,,,,,,,,,,,,,,,NKJPJJEP_00731,,NLALJHLH_01068,,,,,,,,,,,,,,,,,,,,,,,,,
group_1318,tagU_2,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,,,,,,,MAIBJLIG_00159,,,,,,JKACDCNN_01080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00023,,,,,,,,,,,,,
group_1311,,hypothetical protein,,,,,,,,,,,,,,,,,,,18_refound_767,,,,,,,,,,,,,,,,,,,,,,,,,,HGINDJMA_00849,,,,,,,,,CLLCJGKF_00361,,,,,,,
group_1305,,hypothetical protein,,,,,,,,,,,,,,,,,,NBBAMHOG_01199,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBLHLLOB_00015,,,,,,GDFGBGJM_00901,,,,,,,,,
sasA_3,sasA_3,Adaptive-response sensory-kinase SasA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00917,,,,,,,,,,,,,,,MMPGJHDA_00828,,,,,,,,,NPJENFAK_00979,,,,,
group_1280,aqpZ,Aquaporin Z,,,,,,,MAIBJLIG_00925,,,,,,JKACDCNN_00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00208,,,,,,,,,,,,,
group_1277,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,DLEBNMND_00715,,,,,,,,NKJPJJEP_00926,,NLALJHLH_00471,,,,,,,,,,,,,,,,,,,,,,,,,
group_1276,yneA,Cell division suppressor protein YneA,,,,,,AIKGDNKA_00275,,CEAADGFG_00902,,,,,,,,,,,,,,,,KDJKPMPD_00591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1266,,hypothetical protein,,,,,,,,,,,,,JKACDCNN_01242,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDKOCMBL_00055,,,,,,,,,,,,,,CHHPHLEM_00372,,,,,,
serS,serS,Serine--tRNA ligase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00972,,,,,,,,HEOIIJDM_00993,,,,,,ANLJHCED_00504,,,,
group_1225,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00605,,,,,,,,,,,,,,,MMPGJHDA_00528,,,,,,,,,NPJENFAK_01237,,,,,
group_1213,,hypothetical protein,,,,,,,MAIBJLIG_00922,,,,,,JKACDCNN_00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPGGAPPC_00205,,,,,,,,,,,,,
group_1204,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAAKBJBK_00129,,,,,,,,,,,,,DCIIGEBB_00146,,,,,,,,,,LKPJNLPD_01153,,,,,,,,
group_1203,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00266,,,,,,,,,,,,,,,MMPGJHDA_00071,,,,,,,,,NPJENFAK_00581,,,,,
group_1199,,hypothetical protein,,,,,,AIKGDNKA_00750,,CEAADGFG_00853,,,,,,,,,,,,,,,,KDJKPMPD_00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1192,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GKLKKKNA_00164,,,,,,,,,,,AKIABIOK_01243,,,,,,,ANLJHCED_01257,,,,
group_1186,,hypothetical protein,,,,,,AIKGDNKA_00751,,CEAADGFG_00852,,,,,,,,,,,,,,,,KDJKPMPD_00100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1182,,Fimbrial subunit type 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_00322,,,DBLHLLOB_01031,,,,,,,LKPJNLPD_00614,,,,,,,,
group_1178,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GKLKKKNA_00369;GKLKKKNA_00370;GKLKKKNA_00368,,,CFGPDMND_01045,,,,,,,,,,,,,,,,,,ODKBPENJ_00240,
group_1171,,hypothetical protein,,,,,,,,,,,,,,,,,,NBBAMHOG_01277,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBLHLLOB_01123,,,,,,,,,,,,JMCHCOOD_00833,,,
group_1168,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,KDJKPMPD_00326,,DLEBNMND_00250,,,,,,,,,,,,,,,,,,,,,,,MGJCNIPK_00336,,,,,,,,,,,,
group_1160,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00325,,,,,,,,,,,,,,,MMPGJHDA_00566,,,,,,,,,NPJENFAK_01042,,,,,
group_1157,,hypothetical protein,,,,,,,,,,MHMPKAEF_01090,,,,,,,,,,,,,,,,DLEBNMND_01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59_refound_2866,
group_1153,,hypothetical protein,,,,,,AIKGDNKA_00416,,CEAADGFG_00530,,,,,,,,,,,,,,,,KDJKPMPD_00125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1137,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NKJPJJEP_00015,,NLALJHLH_00189,,,,,,CFGPDMND_00631,,,,,,,,,,,,,,,,,,,
group_1127,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFOKPGIE_00596,,,,,,,,,,,,,,,,,,,,,MGJCNIPK_01444,AKIABIOK_00556,,,,,,,,,,,
group_1121,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLALJHLH_00329,,,GKLKKKNA_00377,,,CFGPDMND_00553,,,,,,,,,,,,,,,,,,,
group_1103,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHGEDPDF_00437,,,,,,,,,,,,,,,MMPGJHDA_00721,,,,,,,,,NPJENFAK_00800,,,,,
group_1102,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAAKBJBK_01087,,,,,,,,,,,,,,CBECPNCO_00172,,,,,,,,,,CLLCJGKF_01100,,,,,,,
group_1097,,putative RNA methyltransferase,,,,,,,,,,,,,,,,,FLPEIIEP_00807,,,,,,,,,,,,,,,,,,,,MJDADDMM_00003,,,,,,,,,,,,MGJCNIPK_01229,,,,,,,,,,,,
group_1089,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCIIGEBB_01060,,,,MMPGJHDA_00707,,,,,,,,,NPJENFAK_00110,,,,,
group_1062,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,GEPBNDCO_01119,,,,,,,,,,,,GKLKKKNA_00836,,,,,,,,,,,,,,,,,,ANLJHCED_00459,,,,
group_1055,,hypothetical protein,,,,,,,,,,,MKDEPHEP_00232,,,,,,,,,,,,,,,,,DFOKPGIE_00001,,,,,,,,,,,,,,,,,,,MMPGJHDA_00280,,,,,,,,,,,,,,
group_1047,,hypothetical protein,,,,,,,,,FJPIOAPD_00362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEOIIJDM_00356,,,,,,,JMCHCOOD_00123,,,
